project,file_path,subject_id,hemisphere,surface_type,bounding_box_volume,number of standard deviations from mean,group_mean,group_stdev,stl_file_path
cortexode,./cortexode_208327_mw_rh_white.ply,208327,rh,white,79248.45189660702,-3.5629537538245373,148334.44826694738,19390.090678606826,cortexode_208327_C_mwrm_rh_white.stl
cortexode,./cortexode_250427_mw_rh_white.ply,250427,rh,white,57113.029941694025,-4.704537995064579,148334.44826694738,19390.090678606826,cortexode_250427_C_mwrm_rh_white.stl
cortexode,./cortexode_201515_mw_lh_white.ply,201515,lh,white,80789.65351387723,-2.4129318803853876,143370.00074576464,25935.397406201217,cortexode_201515_C_mwrm_lh_white.stl
cortexode,./cortexode_211316_mw_lh_pial.ply,211316,lh,pial,63172.544560679795,-3.044335448457073,149360.01579682957,28310.766896542635,cortexode_211316_C_mwrm_lh_pial.stl
cortexode,./cortexode_210011_mw_lh_pial.ply,210011,lh,pial,70236.79243650367,-2.7948103154347463,149360.01579682957,28310.766896542635,cortexode_210011_C_mwrm_lh_pial.stl
cortexode,./cortexode_209935_mw_lh_pial.ply,209935,lh,pial,74170.49127465553,-2.6558632197051617,149360.01579682957,28310.766896542635,cortexode_209935_C_mwrm_lh_pial.stl
cortexode,./cortexode_201515_mw_lh_pial.ply,201515,lh,pial,78776.75258278345,-2.493159703938147,149360.01579682957,28310.766896542635,cortexode_201515_C_mwrm_lh_pial.stl
cortexode,./cortexode_214726_mw_lh_pial.ply,214726,lh,pial,73463.34102245848,-2.6808413580502384,149360.01579682957,28310.766896542635,cortexode_214726_C_mwrm_lh_pial.stl
cortexode,./cortexode_228434_mw_lh_pial.ply,228434,lh,pial,58218.53192254772,-3.219322323812154,149360.01579682957,28310.766896542635,cortexode_228434_C_mwrm_lh_pial.stl
cortexode,./cortexode_293748_mw_lh_white.ply,293748,lh,white,59491.534409081665,-3.2341307527690875,143370.00074576464,25935.397406201217,cortexode_293748_C_mwrm_lh_white.stl
cortexode,./cortexode_211316_mw_lh_white.ply,211316,lh,white,63687.752686783104,-3.0723357275385075,143370.00074576464,25935.397406201217,cortexode_211316_C_mwrm_lh_white.stl
cortexode,./cortexode_228434_mw_lh_white.ply,228434,lh,white,59381.06368612922,-3.2383902102673567,143370.00074576464,25935.397406201217,cortexode_228434_C_mwrm_lh_white.stl
cortexode,./cortexode_210011_mw_lh_white.ply,210011,lh,white,71473.06766052406,-2.772154671825073,143370.00074576464,25935.397406201217,cortexode_210011_C_mwrm_lh_white.stl
cortexode,./cortexode_214726_mw_lh_white.ply,214726,lh,white,72663.44716148054,-2.7262568017322146,143370.00074576464,25935.397406201217,cortexode_214726_C_mwrm_lh_white.stl
cortexode,./cortexode_209935_mw_lh_white.ply,209935,lh,white,77217.09277108418,-2.5506803284557784,143370.00074576464,25935.397406201217,cortexode_209935_C_mwrm_lh_white.stl
cortexode,./cortexode_293748_mw_lh_pial.ply,293748,lh,pial,59123.046449651214,-3.1873728351102444,149360.01579682957,28310.766896542635,cortexode_293748_C_mwrm_lh_pial.stl
cortexode,./cortexode_298455_mw_lh_pial.ply,298455,lh,pial,89134.29998752891,-2.127307820003122,149360.01579682957,28310.766896542635,cortexode_298455_C_mwrm_lh_pial.stl
cortexode,./cortexode_250427_mw_rh_pial.ply,250427,rh,pial,57408.05152203337,-4.683994931374315,157119.222480024,21287.634256413407,cortexode_250427_C_mwrm_rh_pial.stl
cortexode,./cortexode_208327_mw_rh_pial.ply,208327,rh,pial,77948.82930417106,-3.719078983706279,157119.222480024,21287.634256413407,cortexode_208327_C_mwrm_rh_pial.stl
